telegram_id,tickets_count,username
1882745023,5,xavierso_based
7543501734,5,Vreui8
5229100819,5,bdsmpolya
2108355737,5,koticov80kg
5418017836,5,jajqhbqqbbq
8443784800,5,
8142723553,5,opgskar
7688772537,5,SoMaybach
7202314055,5,GeorgeBarrett31081998
246306851,4,eatmeatme
5060623026,4,BAMPERG
1785782111,4,exewew
2094097573,4,alexzackerman
1117263009,4,krusitek
6491408757,4,Yalonee
1947429870,4,richdepressedchild
8154893557,4,mxysdd
6857459212,4,Walupz
469344131,4,del_offf
6518544879,4,kunaleni
7541606376,4,error_pepe
1857841687,4,triffiton
6076766999,4,Vlad_5789
1042201891,4,yuyuyuep
943690286,4,forgothowtovacation
399601117,4,chugaaa
5575593840,4,karaev_tg
7873505849,4,Whyoor
1738280460,4,montrxTON
5275187100,4,Yttd1
7902032967,4,window
259157623,4,darya_botova
521035481,4,balmyd
6242764410,4,bulingsI
5090569388,4,fistahkaa2
6479968936,4,AsuraMode
639167245,4,super_chmo
870100633,4,Sam_Big_Bos
5786619342,4,krabs_krab
829317316,4,IiiIILII890
1755451464,4,L8KA08
1247974163,4,TonyIceNFTGifts
2105295750,4,IT080
7190954019,4,vadim_iwo
7813199117,4,do_dep
7957083896,4,xiDaddy
7787424339,4,skisjdjdk
5534530330,4,Roman76l
1314247484,4,hhwbc
5908196370,4,colInaros
612728641,4,KV8888KV
7195627935,4,checkmybless
6939920779,4,seller_AYF
2085450571,4,qwerzu42
1094448193,4,sayzzz_0213
958952358,4,artemtraffg
1803546995,4,basovich_tg
7880741392,4,youdrok
1889272813,4,tg_flamenco
7170372501,4,umsaneks
5899136269,4,MODERALMAX
1780233841,4,ddrainer
8033052496,4,sbhateu
1409284434,4,apparently_gorus
8149739131,4,Fragmentan
904461682,4,kaesh69
5149790548,4,e1010
1993674259,4,x00am
1371154811,4,BAR_BAR_BAR_BARIK
1237860053,4,Venycu
6484294584,4,nqwwee
6043436054,4,Xostyra9ra
70780599,4,riwlyr
745115102,4,gruzin
1219211095,4,gamnarik
7157863324,4,di1mx
522686915,4,maxvikhrr
6750995245,4,emoomali
1596997002,4,SourceIO
7582046404,4,z_m_m
134663327,4,LunasyX
533793114,4,velesiik
1179427785,4,pcpspd
6582058828,4,kkiioo3
6493122295,4,pizdolizikk
1650750497,4,rkalinin6
626063747,4,bedniystudent777
5510915746,4,poxyism
5082689580,4,A8180B
7976139791,4,negroid
5218353834,4,MaksimkaNestle
6551125958,4,sub2299
1491163706,4,huyvortu15
8241320522,4,chaserfs
6409660805,4,m1xsyyyyyy
7872561094,4,HABMW220
7973856607,4,Durov07770
8214654561,4,qouau
952614430,4,xirxojngb54ewwe
6270515379,4,TYNIN_bog
7315299010,4,IvanTrader88
7575855986,4,Alex_4_0
81893548,4,gifts_zzone
5068583824,4,yngwrkr
1102705207,4,Fuck_my_ass_blead
1217177195,4,Op_King_bs01
8421753956,4,BB_GIM1
398268244,4,ALFM3ISTER
8208983594,4,baned_xd
972070989,4,SYT3NER
6167822347,3,gospodinovvvv
7591696020,3,SyrPryzHold
5248908341,3,FarhadAfaa
457934247,3,vovkeed
563930099,3,truesnober
5714032299,3,lyxsho
1043287934,3,rastrofai
5321655313,3,ooooooooooooooooooooooooo0o
7712482337,3,eyskrut
2025569082,3,m1qha
981458067,3,Flexer66
1864140323,3,vbetonespbru
6379942443,3,Sas16_exefff
133423656,3,AlexeyKaia
969378621,3,insurrecting
2025113988,3,ractyy
1381143112,3,lauranceblance
5187739158,3,poolsemp
737293432,3,Hommma
721775624,3,ndurov
1950229390,3,MOCKBA405
7651049546,3,yaemsup4ik
1853746782,3,weex0
1771332678,3,Yata15
1057098591,3,arseniy231
5495502387,3,Kirstypo
1493203120,3,W1_yyy
6880062615,3,aiggel
7542953866,3,dmsiy
5463485522,3,Topd1p
1681240508,3,KORTIKOID
201865715,3,uzer72
6458170091,3,Robatxc
7157775310,3,lNDIGOO
1137658407,3,russlez
1172913436,3,why_glava
1201249947,3,BelkaProBLR
897810417,3,Ten_vl
561324307,3,m1loyy
1844315258,3,arseiii
7913491375,3,pupunyas
1175052659,3,u_w_i
622407923,3,nighty14
1048892303,3,panimayou
6743407984,3,Collector_666
6259932305,3,teadmq
8094499961,3,AutoGifts_Sup
1228735242,3,tghostov
7304613818,3,CryptoGhostsru
1155680597,3,giftgambler_admin
5316997603,3,Ehsan_samii
1066464196,3,d1vine1337
5728134895,3,dissikz
690055809,3,xB41362
5113236997,3,OrgyChannel
333686736,3,Anpaglion
980828567,3,fack1d
1174409317,3,onlyTW1STER
6404347025,3,alex_dark7
1435677405,3,tim_qq
2111132050,3,yslchik
336332778,3,threnodic
834609450,3,M4ksashi
5553393502,3,ligue111
5040250777,3,LegendMorris
